bitcoin pieces              -> unités bitcoin
skip                        -> Sauter cette étape          
PIN                         -> NIP
current balance             -> Solde actuel
tap                         -> Appuyer
digital money               -> Monnaie numérique    
Old-fashioned fiat money    -> monnaie fiat désuette (archaïque ?)
US dollar                   -> dollar canadien (euro)
hacked                      -> hacké ?
Lightninf Invoice           -> Facture Lightning
Invoice                     -> Facture
Dismiss                     -> Rejeter, Annuler ?
PIN                         -> NIP
user                        -> usager, utilisateur ?
